Profissão,"Masculino, Todas as Cores","Feminino, Todas as Cores","Feminino, Cor Branca","Masculino, Cor
Outros Trabalhadores dos Servicos,1113.58,1088.64,1110.4,0.9776037644
Supervisores de Vendas e de Prestacao de Servicos,2678.82,2156.32,2475.95,0.8049514338
Vendedores e Demonstradores em Lojas ou Mercados,1125.21,1092.77,1108.13,0.9711698261
Instaladores de Produtos e Acessorios,1231.31,1135.16,1228.68,0.9219124347
Vendedores em Domicilio,1253.62,1182.7,1227.81,0.943427833
Vendedores em Quiosques e Barracas,1130.89,1090.75,1111.8,0.9645058317
Vendedores Ambulantes,1249.16,1170.83,1222.08,0.9372938615
Produtores Agropecuarios em Geral,1058.24,964.63,1038.8,0.9115418053
Produtores Agricolas Polivalentes,1121.49,991.35,1110.53,0.8839579488
Produtores Agricolas na Cultura de Gramineas,1220.44,1016.13,1180.25,0.8325931631
Produtores Agricolas na Cultura de Plantas Fibrosas,2313.63,880,2026.9,0.3803546807
Produtores Agricolas na Olericultura,1103.84,1045.77,1085.41,0.9473927381
Produtores Agricolas no Cultivo de Flores e Plantas Ornamentais,1057.3,1086.16,1065.06,1.027295942
Produtores Agricolas na Fruticultura,1448.34,1044.76,1387.59,0.7213499593
Produtores Agricolas na Cultura de Plantas Estimulantes e de Especiarias (Exc Exploracao Florestal),927,914.2,923.63,0.9861920173
Produtores Agricolas na Cultura de Plantas Oleaginosas,1434.35,924,1332.28,0.6441942343
Produtores de Especiarias e de Plantas Aromaticas e Medicinais,1385.38,0,1385.38,0
Produtores em Pecuaria Polivalente,1125.51,1161.32,1134.34,1.031816688
Produtores em Pecuaria de Grande Porte,1171.33,1039.56,1158.7,0.8875039485
Produtores em Pecuaria de Medio Porte,1134.63,1230.33,1158.07,1.084344676
Produtores em Pecuaria de Pequeno Porte,1059.39,1009.36,1046.37,0.95277471
Produtores em Pecuaria de Animais e Insetos Uteis,1102.9,959.75,1073.54,0.870205821
Supervisores na Exploracao Agropecuaria,1956.6,1293.03,1910.52,0.6608555658
Trabalhadores na Exploracao Agropecuaria em Geral,1083.66,975.74,1066.45,0.9004115682
Trabalhadores de Apoio À Agricultura,1074.93,1005.54,1061.38,0.9354469593
Trabalhadores Agricolas na Cultura de Gramineas,963.82,989.75,965.56,1.026903364
Trabalhadores Agricolas na Cultura de Plantas Fibrosas,1180.74,895.61,1140.66,0.758515846
Trabalhadores Agricolas na Olericultura,1055.14,1039.5,1050.45,0.9851773224
Trabalhadores Agricolas no Cultivo de Flores e Plantas Ornamentais,1050.16,1026.27,1040.69,0.9772510855
Trabalhadores Agricolas na Fruticultura,1029.78,983.1,1017.4,0.9546699295
Trabalhadores Agricolas nas Culturas de Plantas Estimulantes e Especiarias (Exceto Extracao Florest),1003.26,945.61,983.92,0.9425373283
Trabalhadores Agricolas na Cultura de Plantas Oleaginosas,1070.68,1124.69,1073.78,1.050444577
Trabalhadores de Especiarias e Plantas Aromaticas e Medicinais,1045.36,1048.55,1045.96,1.00305158
Tratadores Polivalentes de Animais,1223.81,1044.82,1205.51,0.8537436367
Trabalhadores na Pecuaria de Grande Porte,1139.33,985.31,1127.36,0.8648152862
Trabalhadores na Pecuaria de Medio Porte,1115.87,1070.37,1105.42,0.9592246409
Trabalhadores na Pecuaria de Pequeno Porte,1045.66,1049.63,1046.87,1.003796645
Trabalhadores na Criacao de Insetos e Animais Uteis,1093.87,976.52,1010.97,0.8927203415
"Supervisores na Exploracao Florestal, Caca e Pesca",2136.79,2535.66,2153.27,1.186667852
Pescadores Polivalentes,1080.07,1246.29,1083.65,1.153897433
Pescadores Profissionais Artesanais de Agua Doce,1615.76,1200,1607.44,0.7426845571
Pescadores de Agua Costeira e Alto Mar,1489.48,1183.6,1486.21,0.79463974
Criadores de Animais Aquaticos,1018.27,979.42,1015.3,0.9618470543
Trabalhadores de Apoio ao Extrativismo da Pesca,1357.1,989.28,1321.12,0.7289661779
Trabalhadores Florestais Polivalentes,1039.93,1013.48,1032.1,0.9745655958
Extrativistas Florestais de Especies Produtoras de Madeira,1072.9,991.17,1069.05,0.9238232827
"Extrativistas Florestais de Especies Produtoras de Gomas Elasticas, nao Elasticas e Resinas",1014.93,997.23,1011.27,0.9825603736
"Extrativistas Florestais de Especies Produtoras de Fibras, Ceras e Oleos",1043.79,1050.94,1043.86,1.006850037
Extrativistas Florestais de Especies Produtoras de Substancias Alimenticias,963.09,1116.68,1054.19,1.159476269
"Extrativistas Florestais de Especies Produtoras de Substancias Aromaticas, Medicinais e Toxicas",1074.37,1081.76,1075.32,1.00687845
Carvoejadores e Afins,1029.8,1013.67,1029.03,0.9843367644
Trabalhadores da Mecanizacao Agropecuaria,1401.67,1270.7,1399.77,0.9065614588
Trabalhadores da Mecanizacao Florestal,1463.6,1347.79,1462.61,0.9208731894
Trabalhadores da Irrigacao e Drenagem,1223.15,1004.89,1211.95,0.8215590892
Supervisores da Extracao Mineral,3484.39,1702.46,3399.73,0.4885962823
Supervisores da Construcao Civil,2759.48,2008.63,2737.77,0.7279016336
Trabalhadores da Extracao de Minerais Solidos,1370.41,1082.28,1363.22,0.7897490532
Trabalhadores de Extracao de Minerais Solidos (Operadores de Maquinas),1573.48,1135.35,1564.15,0.7215534993
Trabalhadores da Extracao de Minerais Liquidos e Gasosos,1592.48,1307.81,1589.3,0.8212410831
Garimpeiros e Operadores de Salinas,1123.16,937,1117.49,0.8342533566
Trabalhadores de Beneficiamento de Minerios,1374.46,1163.55,1368.63,0.8465506453
Trabalhadores de Beneficiamento de Pedras Ornamentais,1352.49,1150.42,1348.18,0.8505940894
Trabalhadores na Operacao de Maquinas de Terraplenagem e Fundacoes,1818.91,1578.59,1817.02,0.8678769153
Trabalhadores de Estruturas de Alvenaria,1485.64,1334.56,1484.73,0.8983064538
Montadores de Estruturas de Concreto Armado,1512.83,1418.02,1512.33,0.9373293761
Trabalhadores na Operacao de Maquinas de Concreto Usinado,1466.18,1452.66,1466.1,0.9907787584
"Trabalhadores de Montagem de Estruturas de Madeira, Metal e Compositos em Obras Civis",1567.56,1391.13,1566.75,0.8874492842
Trabalhadores de Instalacoes Eletricas,1470.28,1033,1463.3,0.7025872623
Trabalhadores de Instalacoes de Materiais Isolantes,1493.36,1224.85,1490.66,0.8201974072
Revestidores de Concreto Armado (Revestimentos Rigidos),1554.58,1282.62,1547.26,0.8250588583
Telhadores (Revestimentos Rigidos),1499.38,1180.29,1494.52,0.78718537
Vidraceiros (Revestimentos Rigidos),1239.18,1240.12,1239.21,1.000758566
Gesseiros,1439.2,1283.13,1438.01,0.8915578099
"Aplicadores de Revestimentos Ceramicos, Pastilhas, Pedras e Madeiras",1546.93,1309.05,1542.05,0.8462244575
Pintores de Obras e Revestidores de Interiores (Revestimentos Flexiveis),1479.6,1376.33,1478.32,0.9302041092
Ajudantes de Obras Civis,1094.84,1066.76,1094.1,0.9743524168
"Supervisores de Usinagem, Conformacao e Tratamento de Metais",3273.9,2671.42,3262.56,0.8159748312
Supervisores da Montagem Metalmecanica,3371.33,2882.05,3333.59,0.8548703331
Ferramenteiros e Afins,2245.83,1278.67,2187.64,0.5693529786
Preparadores e Operadores de Maquinas-Ferramenta Convencionais,1645.96,1244.11,1605.36,0.7558567644
Afiadores e Polidores de Metais,1447.94,1272.97,1439.82,0.8791593574
Operadores de Maquinas e Centros de Usinagem Cnc,1978.32,1320.25,1952.44,0.6673591734
Trabalhadores de Forjamento de Metais,1343.13,1168.28,1336.15,0.8698190049
Trabalhadores de Fundicao de Metais Puros e de Ligas Metalicas,1357.04,1193.59,1344.57,0.8795540294
Trabalhadores de Moldagem de Metais e de Ligas Metalicas,1315.04,1185.32,1306.57,0.9013566127
"Trabalhadores de Trefilacao, Estiramento e Extrusao de Metais e de Compositos",1490.14,1323.33,1481.35,0.888057498
Trabalhadores de Tratamento Termico de Metais e de Compositos,1403.62,1197.34,1370.85,0.8530371468
Trabalhadores de Tratamento de Superficies de Metais e de Compositos (Termoquimicos),1428.66,1245.07,1415.46,0.8714949673
"Trabalhadores da Pintura de Equipamentos, Veiculos, Estruturas Metalicas e de Compositos",1518.59,1310.55,1511.65,0.8630044976
Encanadores e Instaladores de Tubulacoes,1679.8,1398.44,1676.83,0.8325038695
Trabalhadores de Tracagem e Montagem de Estruturas Metalicas e de Compositos,1450.45,1290.11,1447.62,0.8894549967
Trabalhadores de Soldagem e Corte de Metais e de Compositos,1940.8,1715.73,1936.5,0.8840323578
Trabalhadores de Caldeiraria e Serralheria,1809,1224.1,1798.57,0.6766721946
Operadores de Maquinas de Conformacao de Metais,1443.2,1196.7,1422.24,0.8291990022
Trancadores e Laceiros de Cabos de Aco,1504.29,1288.64,1484.3,0.8566433334
Ajustadores Mecanicos Polivalentes,1358.56,786.91,1288.41,0.5792235897
"Montadores de Maquinas, Aparelhos e Acessorios em Linhas de Montagem",1388.84,1268.21,1365.41,0.9131433426
Montadores de Maquinas Industriais,1839.89,1552.46,1834.9,0.8437787042
Montadores de Maquinas Pesadas e Equipamentos Agricolas,1772.21,1537.21,1762.53,0.8673972046
Montadores de Motores e Turbinas,1753.79,1377.33,1750.82,0.7853448817
Montadores de Veiculos Automotores (Linha de Montagem),1674.63,1436.05,1652.28,0.8575327087
Montadores de Sistemas e Estruturas de Aeronaves,2240.39,2492,2244.92,1.11230634
Montadores de Instalacoes de Ventilacao e Refrigeracao,1566.52,1363.89,1563.66,0.8706495927
Supervisores de Montagens e Instalacoes Eletroeletronicas,3259.04,2383.5,3188.71,0.7313503363
Montadores de Equipamentos Eletro-Eletronicos,1352.72,1204.63,1306.6,0.890524277
Montadores de Aparelhos de Telecomunicacoes,1129.5,1097.92,1127.87,0.972040726
Instaladores-Reparadores de Linhas e Equipamentos de Telecomunicacoes,1153.1,1110.27,1152.57,0.9628566473
"Instaladores e Reparadores de Linhas e Cabos Eletricos, Telefonicos e de Comunicacao de Dados",1315.31,1114.68,1311.78,0.8474656165
Supervisores da Mecanica de Precisao e Instrumentos Musicais,3728.55,2403,3647.39,0.6444864626
Mecanicos de Instrumentos de Precisao (Exceto Tecnicos),1581.46,1178.55,1528.59,0.7452290921
Confeccionadores de Instrumentos Musicais,1482.42,1260.93,1425.3,0.8505889019
Supervisores de Joalheria e Afins,1402.71,1344,1383.92,0.9581453044
"Supervisores de Vidraria, Ceramica e Afins",3309.27,2557.33,3247.18,0.7727776821
Joalheiros e Lapidadores de Gemas,1233.05,1042.04,1123.79,0.8450914399
Artesaos de Metais Preciosos e Semi-Preciosos,1349.14,1063.28,1224.36,0.7881168745
"Sopradores, Moldadores e Modeladores de Vidros e Afins",1396.15,1162.98,1363.37,0.8329907245
Trabalhadores da Transformacao de Vidros Planos,1338.14,1162.98,1327.41,0.8691018877
Ceramistas (Preparacao e Fabricacao),1249.78,1129.53,1229.4,0.9037830658
Vidreiros e Ceramistas (Arte e Decoracao),1385.38,1161.3,1300.87,0.8382537643
Supervisores da Industria Textil,1451.94,1233.16,1380.44,0.8493188424
Supervisores na Industria do Curtimento,3173.85,1309,3004.32,0.4124328497
Supervisores na Confeccao do Vestuario,1724.68,1691.57,1705.87,0.9808022358
Supervisores na Confeccao de Calcados,2166.25,1809.84,2073.06,0.8354714368
"Supervisores da Confeccao de Artefatos de Tecidos, Couros e Afins",2083.44,1619.04,1857.25,0.7770994125
Supervisores das Artes Graficas,2696.39,2738.38,2707.46,1.015572673
Trabalhadores Polivalentes das Industrias Texteis,1041.97,955.92,1011.33,0.9174160484
Trabalhadores da Preparacao da Tecelagem,1406.03,954.26,1236.21,0.6786910663
Operadores da Fiacao,1209.19,1097.84,1157.77,0.907913562
Operadores de Tear e Maquinas Similares,1354.23,1178.89,1323.1,0.8705242093
"Trabalhadores de Acabamento, Tingimento e Estamparia das Industrias Texteis",1235.07,1111.54,1214.19,0.8999813776
Inspetores e Revisores de Producao Textil,1204.81,1088.69,1110.34,0.9036196579
Trabalhadores Polivalentes do Curtimento de Couros e Peles,1080.5,1044.89,1073.21,0.9670430356
Trabalhadores da Preparacao do Curtimento de Couros e Peles,1276.95,956.9,1239.97,0.7493637182
Trabalhadores do Curtimento de Couros e Peles,1226.69,1052.77,1187.19,0.8582200882
Trabalhadores do Acabamento de Couros e Peles,1288.12,1156.49,1274.27,0.8978123156
Trabalhadores Polivalentes das Industrias da Confeccao de Roupas,1226.14,1170.94,1179.19,0.954980671
Trabalhadores da Preparacao da Confeccao de Roupas,1110.14,1018.18,1060.42,0.917163601
Operadores de Maquinas para Costura de Pecas do Vestuario,1051.62,1094.02,1086.63,1.040318746
Operadores de Maquinas para Bordado e Acabamento de Roupas,1085.25,1036.39,1050.44,0.9549781156
Trabalhadores Polivalentes da Confeccao de Calcados,1015.35,977.2,995.58,0.9624267494
Trabalhadores da Preparacao da Confeccao de Calcados,1168.21,1041.53,1104.62,0.8915605927
Operadores de Maquinas de Costurar e Montar Calcados,1257.17,1146.2,1189.88,0.9117303149
Trabalhadores de Acabamento de Calcados,1225.3,1080.51,1140.39,0.8818330205
Trabalhadores Polivalentes da Confeccao de Artefatos de Tecidos e Couros,1028.22,982.29,1003.77,0.9553305713
"Trabalhadores da Preparacao de Artefatos de Tecidos, Couros e Tapecaria",1244.21,1123.66,1218.36,0.9031112111
Trabalhadores da Fabricacao e Instalacao de Artefatos de Tecidos e Couros,1283.39,1108.49,1264.36,0.8637203033
Operadores de Maquinas na Fabricacao de Artefatos de Tecidos e Couros,1249.07,1192.76,1213.52,0.9549184593
Trabalhadores do Acabamento de Artefatos de Tecidos e Couros,1095.62,1034.82,1065.56,0.9445063069
Trabalhadores da Pre-Impressao Grafica,1496.65,1422.32,1475.72,0.9503357498
Trabalhadores da Impressao Grafica,1574.54,1177.39,1528.53,0.747767602
Trabalhadores do Acabamento Grafico,1418.67,1223.19,1359.58,0.8622089704
Trabalhadores de Laboratorio Fotografico e Radiologico,1387.47,1153.65,1279.2,0.8314774373
"Trabalhadores de Tecelagem Manual, Trico, Croche, Rendas e Afins",1259.13,1045.19,1206.46,0.8300890297
Trabalhadores Artesanais da Confeccao de Roupas,1152.31,1309.13,1287.86,1.13609185
Trabalhadores Artesanais da Confeccao de Calcados e Artefatos de Couros e Peles,1267.6,1074.66,1179.12,0.8477911013
Trabalhadores Tipograficos Linotipistas e Afins,1304.71,1094.57,1275.64,0.8389373884
Encadernadores e Recuperadores de Livros (Pequenos Lotes ou a Unidade),1187.28,1160.39,1176.35,0.9773515936
"Supervisores em Industria de Madeira, Mobiliario e da Carpintaria Veicular",2192.69,1841.59,2178.5,0.839877046
Marceneiros e Afins,1373.38,1032.34,1357.87,0.751678341
Trabalhadores de Tratamento e Preparacao de Materiais,1111.74,1034.43,1101.28,0.9304603594
Operadores de Maquinas de Desdobramento de Madeiras,1216.79,1095.15,1209.15,0.9000320515
Operadores de Maquinas de Aglomeracao e Prensagem de Chapas,1380.9,1359.82,1376.73,0.9847345934
Preparadores e Operadores de Usinagem de Madeira Convencional,1307.4,1141.14,1291.36,0.8728315741
Operadores de Maquinas de Madeiras (Producao em Serie),1278.75,1090.09,1241.43,0.8524652981
Operadores de Maquinas de Usinagem de Madeira Cnc,1558.76,1213.78,1538.49,0.7786830558
Montadores de Moveis e Artefatos de Madeira,1212.82,1148.49,1210.78,0.9469583285
Trabalhadores do Acabamento de Madeira e do Mobiliario,1234.22,1108.67,1197.53,0.8982758341
"Confeccionadores de Artefatos de Madeira, Moveis de Vime e Afins",1133.86,1050.04,1113.57,0.9260755296
Carpinteiros Navais e de Aeronaves,1982.44,2245,1988.15,1.132442848
Carpinteiros de Carrocerias e Carretas,1389.21,935,1382.85,0.6730443921
Supervisores de Trabalhadores de Embalagem e Etiquetagem,1982.44,1624.95,1899.84,0.8196717177
Operadores de Robos Industriais,2039.91,1675,2015.17,0.821114657
Operadores de Veiculos Subaquaticos Controlados Remotamente,2193.78,1233.5,2162.81,0.5622715131
Trabalhadores Subaquaticos,1763.09,1182,1756.29,0.6704138756
Operadores de Maquinas e Equipamentos de Elevacao,1779.96,1423.52,1774.6,0.799748309
Operadores de Equipamentos de Movimentacao de Cargas,1497.34,1445.53,1496.13,0.9653986403
Motoristas de Veiculos de Pequeno e Medio Porte,1411.32,1381.6,1410.59,0.9789417
"Motoristas de Onibus Urbanos, Metropolitanos e Rodoviarios",1807.12,1678.73,1804.42,0.9289532516
Motoristas de Veiculos de Cargas em Geral,1588.55,1560.13,1588.27,0.9821094709
Operadores de Veiculos Sobre Trilhos e Cabos Aereos,1482.13,1351,1476.87,0.9115259795
"Trabalhadores na Navegacao Maritima, Fluvial e Regional",1710.08,1652.2,1709.19,0.9661536302
Condutores de Veiculos de Tracao Animal e de Pedais,1121.24,1098.43,1120.31,0.9796564518
Trabalhadores de Manobras de Transportes Sobre Trilhos,1200.51,1158.85,1198.56,0.9652980816
Trabalhadores de Cargas e Descargas de Mercadorias,1102.07,1090.8,1101.63,0.9897737893
Trabalhadores de Embalagem e de Etiquetagem,1005.11,1019.8,1010.1,1.014615316
Alimentadores de Linhas de Producao,1161.38,1109.31,1146.45,0.9551654067
Artesãos,1111.51,892.79,1026.8,0.8032226431
"Supervisores de Producao em Industrias Quimicas, Petroquimicas e Afins",3185.98,3376.54,3207.73,1.059812052
Supervisores de Producao em Industrias de Transformacao de Plasticos e Borrachas,2901.13,1704.39,2775.06,0.5874917704
"Supervisores de Producao em Industrias de Produtos Farmaceuticos, Cosmeticos e Afins",4053.96,3789.69,3939.09,0.9348118876
"Operadores Polivalentes de Instalacoes Quimicas, Petroquimicas, e Afins",2371.22,1739.86,2300.91,0.7337404374
Operadores de Moagem e Mistura de Materiais (Tratamentos Quimicos e Afins),1349.76,1340.81,1349.13,0.9933691916
Operadores de Processo Termoquimicos e Afins,1256.44,1133.83,1254,0.9024147592
Operadores de Filtragem e Separacao,1596.88,1894.77,1611.49,1.186545013
"Operadores de Equipamentos de Destilacao, Evaporacao e Reacao",1472.64,1210.58,1452.46,0.8220474794
Operadores de Producao e Refino de Petroleo e Gas,2180.33,3501.91,2229.44,1.606137603
Operadores de Equipamentos de Coqueificacao,1663.77,1433.44,1643.16,0.8615613937
"Operadores de Instalacoes e Maquinas de Produtos Plasticos, de Borracha e Parafinas",1299.74,1186.17,1274.87,0.9126209857
"Operadores de Maquinas Einstalacoes de Produtos Farmaceuticos,Cosmeticos e Afins",1302.99,1204.08,1272.79,0.9240899777
Trabalhadores da Fabricacao de Municao e Explosivos Quimicos,1134.69,995.78,1061.83,0.8775788982
"Operadores de Processos das Industrias de Transformacao de Produtos Quimicos, Petroquimicos e Afins",1483.53,1343.53,1465.22,0.9056304894
Laboratoristas Industriais Auxiliares,1380.55,1286.46,1333.73,0.9318460034
Supervisores de Producao em Industrias Siderurgicas,2888.25,2082.21,2820.85,0.7209244352
Supervisores na Fabricacao de Materiais para Construcao (Vidros e Ceramicas),2662.83,1869.6,2583.29,0.702110161
Operadores de Instalacoes de Sinterizacao,1390.09,1185.56,1338.73,0.8528656418
Operadores de Fornos de Primeira Fusao e Aciaria,1290.52,1178.26,1285.76,0.9130118092
Operadores de Laminacao,1439.41,1329.69,1432.37,0.9237743242
Operadores de Equipamentos de Acabamento de Chapas e Metais,1513.97,1225.2,1491.42,0.8092630633
Forneiros Metalurgicos (Segunda Fusao e Reaquecimento),1446.9,1159.96,1434.66,0.801686364
"Operadores na Preparacao de Massas para Abrasivo, Vidro, Ceramica, Porcelana e Materiais de Construcao",1240.6,805.71,1191.11,0.6494518781
"Operadores de Instalacoes e Equipamentos de Fabricacao de Ceramicas, Vidros e Porcelanas",1378.96,1131.88,1353.21,0.8208214887
Operadores de Instalacoes e Equipamentos de Fabricacao de Materiais de Construcao,1165.88,1110.88,1164.47,0.9528253337
Trabalhadores da Fabricacao de Ceramica Estrutural para Construcao,1059.99,1016.46,1057.84,0.9589335748
Supervisores da Fabricacao de Celulose e Papel,3470.74,1798.2,3264.19,0.5181027677
Preparadores de Pasta para Fabricacao de Papel,1665.48,1243.72,1624.74,0.7467636958
Operadores de Maquinas de Fabricar Papel e Papelao,1369.76,1141.52,1336.54,0.8333722696
Operadores de Maquinas na Fabricacao de Produtos de Papel e Papelao,1241.03,1090.18,1209.23,0.878447741
Trabalhadores Artesanais de Produtos de Papel e Papelao,1122.65,1086.69,1109.62,0.9679686456
"Supervisores da Fabricacao de Alimentos, Bebidas e Fumo",3097.08,2181.29,2835.06,0.7043053457
"Trabalhadores da Industria de Beneficiamento de Graos, Cereais e Afins",1191.48,1020.94,1159.84,0.8568670897
Trabalhadores no Beneficiamento do Sal,1038.8,1120.36,1046.2,1.07851367
Trabalhadores na Fabricacao e Refino de Acucar,1221.42,1062.9,1214.06,0.8702166331
Trabalhadores na Fabricacao e Conservacao de Alimentos,1138.3,1093.18,1119,0.9603619432
Trabalhadores na Pasteurizacao do Leite e na Fabricacao de Laticinios e Afins,1154.33,1124.41,1149.05,0.9740802024
"Trabalhadores na Industrializacao de Cafe, Cacau, Mate e de Produtos Afins",1195.11,1042.76,1165.61,0.8725221946
"Trabalhadores na Fabricacao de Cachaca, Cerveja, Vinhos e Outras Bebidas",1169.25,1128.64,1161.91,0.9652683344
"Operadores na Fabricacao de Paes, Massas e Doces",1152.29,1137.75,1147.18,0.9873816487
Preparadores de Fumo,1194.52,1021.4,1087.99,0.8550714932
Charuteiros,1229.57,989.21,1148.32,0.8045170263
Trabalhadores Artesanais na Conservacao de Alimentos,1173.69,1098.16,1141.86,0.9356474026
Trabalhadores Artesanais na Pasteurizacao do Leite e na Fabricacao de Laticinios e Afins,1126.98,1068.35,1115.91,0.9479760067
"Padeiros, Confeiteiros e Afins",1272.73,1167.45,1242.37,0.9172801773
Trabalhadores em Analises Sensoriais,1331.55,1070.73,1244.26,0.8041230145
Magarefes e Afins,1203.11,1114.68,1184.24,0.9264988239
Trabalhadores Artesanais na Industria do Fumo,1104.78,998.72,1046.91,0.9039989862
Supervisores da Producao de Utilidades,3362.14,2589.29,3323.89,0.7701315234
"Operadores de Instalacoes de Geracao e Distribuicao de Energia Eletrica, Hidraulica, Termica ou Nuclear",1913.13,1791.11,1908.8,0.9362197028
"Operadores de Instalacoes de Distribuicao de Energia Termica, Eletrica e Nuclear",1711.02,2118.8,1718.93,1.238325677
Operadores de Maquinas a Vapor e Utilidades,1402.93,1229.64,1382.48,0.8764799384
"Operadores de Instalacoes de Captacao, Tratamento e Distribuicao de Agua",1272.57,1505.25,1295.84,1.182842594
Operadores de Instalacoes de Captacao e Tratamento de Esgotos,1375.77,1370.86,1375.58,0.9964310895
"Operadores de Instalacoes de Extracao, Processamento, Envasamento e Distribuicao de Gases",1312.57,1203.94,1308.85,0.9172386997
Operadores de Instalacoes de Refrigeracao e Ar-Condicionado,1332.56,1313.29,1331.62,0.9855391127
"Supervisores em Servicos de Reparacao e Manutencao de Maquinas e Equipamentos Industriais, Comerciais e Residenciais",3119.48,2529.19,3100.21,0.8107729493
Supervisores em Servicos de Reparacao e Manutencao Veicular,2874.52,1913.78,2829.87,0.665773764
"Supervisores de Outros Trabalhadores de Servicos de Reparacao, Conservacao e Manutencao",2432.1,1653.24,2320.84,0.6797582336
"Mecanicos de Manutencao de Bombas, Motores, Compressores e Equipamentos de Transmissao",1470.3,1211.94,1466.21,0.824280759
Mecanicos de Manutencao e Instalacao de Aparelhos de Climatizacao e Refrigeracao,1397.5,1146.66,1393.78,0.8205080501
Mecanicos de Manutencao de Maquinas Industriais,1655.06,710.49,1584.45,0.4292835305
Mecanicos de Manutencao de Maquinas Pesadas e Equipamentos Agricolas,1907.21,1416.74,1902.06,0.7428337729
Mecanicos de Manutencao Aeronautica,2058.97,1202.15,2015.49,0.5838598911
Mecanicos de Manutencao Naval (Em Terra),2009.58,2601.5,2014.7,1.29454911
Mecanicos de Manutencao Metroferroviaria,1385.37,910.87,1367.72,0.6574922223
Mecanicos de Manutencao de Veiculos Automotores,1395.4,1128.58,1391.88,0.8087860112
Tecnicos em Manutencao e Reparacao de Instrumentos de Medicao e Precisao,2205.35,2505.61,2220.08,1.136150724
Restauradores de Instrumentos Musicais,1403.34,1386.5,1401.62,0.988000057
Tecnicos em Manutencao e Reparacao de Equipamentos Biomedicos,2161.32,2519.24,2213.28,1.165602502
Reparadores de Equipamentos Fotograficos,1745.24,1396,1678.71,0.7998899865
Lubrificadores,1360.15,1203.71,1357.74,0.8849832739
"Trabalhadores de Manutencao de Rocadeiras, Motoserras e Similares",1605.45,1275.58,1601.07,0.7945311283
Mecanicos de Manutencao de Bicicletas e Equipamentos Esportivos e de Ginastica,1189.57,1161.86,1188.15,0.9767058685
"Supervisores de Manutencao Eletro-Eletronica Industrial, Comercial e Residencial",3043.51,2308.91,3014.69,0.7586339457
Supervisores de Manutencao Eletro-Eletronica Veicular,2172.15,1424.54,2126.3,0.6558202702
Supervisores de Manutencao Eletromecanica,4519.99,2780.88,4432.35,0.6152402992
Eletricistas-Eletronicos de Manutencao,1678.49,981.46,1658.33,0.58472794
Instaladores e Mantenedores de Sistemas Eletroeletronicos de Seguranca,1242.03,1205.39,1237.36,0.9704999074
"Eletricistas-Eletronicos de Manutencao Veicular (Aerea, Terrestre e Naval)",1550.26,1103.22,1543.55,0.7116354676
"Mantenedores de Elvadores, Escadas e Portas Automaticas",1736.61,1209.05,1716.49,0.6962127363
Reparadores de Aparelhos Eletrodomesticos,1238.65,1336.16,1242.27,1.078722803
Reparadores de Equipamentos de Escritorio,1297.92,1160.59,1288.74,0.8941922461
Conservadores de Vias Permanentes (Trilhos),1172.85,1156.73,1172.59,0.9862557019
Mantenedores de Equipamentos de Parques de Diversoes e Similares,1270.35,1574.78,1319.13,1.239642618
Reparadores de Carrocerias de Veiculos,1472.25,1316.24,1469.56,0.8940329428
Trabalhadores Elementares de Servicos de Manutencao Veicular,1226.63,1184.26,1225.66,0.9654582066
Trabalhadores Operacionais de Conservacao de Vias Permanentes (Exceto Trilhos),1170.38,1005.02,1129.34,0.8587125549
